Station_ID,Station_Name,Location_Label,Interval_Minutes,Interval_End_Time,Wind_Velocity_Mtr_Sec,Wind_Direction_Variance_Deg,Wind_Direction_Deg,Ambient_Temperature_Deg_C,Global_Horizontal_Irradiance
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 01:30,1.662,0,320.2,12.57,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 01:35,1.068,0,318.1,12.89,0.01
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 01:40,1.526,0,317,12.78,0.033
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 01:45,1.462,0,317.1,12.88,0.038
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 01:50,1.066,0,316.9,12.88,0.043
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 01:55,0.903,0,316.7,12.81,0.11
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 02:00,0.879,0,316.7,12.64,0.129
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 02:05,0.764,0,316.6,13,0.162
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 02:10,1.058,0,316.8,12.65,0.191
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 02:15,0.911,0,316.8,12.9,0.2
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 02:20,1.249,0,317,12.64,0.11
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 02:25,1.193,0,317,12.68,0.11
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 02:30,1.172,0,317,12.86,0.038
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 02:35,1.385,0,316.9,12.86,0.114
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 02:40,1.159,0,316.9,12.6,0.033
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 02:45,0.858,0,316.7,12.79,0.01
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 02:50,1.236,0,316.6,12.87,0.038
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 02:55,1.311,0,316.6,12.96,0.062
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 03:00,1.582,0,316.6,12.51,0.024
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 03:05,1.119,0,316.5,12.84,0.01
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 03:10,1.247,0,316.5,12.53,0.005
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 03:15,1.289,0,316.6,12.92,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 03:20,1.651,0,316.7,12.55,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 03:25,1.468,0,316.9,12.93,0.005
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 03:30,1.777,0,317.1,12.65,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 03:35,1.244,0,316.9,12.87,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 03:40,1.095,0,316.9,13.1,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 03:45,1.14,0,316.8,12.85,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 03:50,1.276,0,316.6,13.07,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 03:55,1.43,0,316.6,12.95,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 04:00,1.529,0,316.6,12.76,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 04:05,1.201,0,316.6,13.31,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 04:10,1.151,0,316.4,13.04,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 04:15,1.492,0,316.4,13.08,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 04:20,1.545,0,316.8,12.68,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 04:25,1.412,0,316.7,12.3,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 04:30,1.308,0,316.6,12.79,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 04:35,1.444,0,316.5,12.8,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 04:40,1.084,0,316.4,12.57,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 04:45,1.332,0,316.3,12.58,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 04:50,1.508,0,316.3,12.46,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 04:55,2.011,0,316.9,12.18,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 05:00,1.782,0,316.8,12.22,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 05:05,1.425,0,316.8,12.27,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 05:10,2.006,0,317,12.05,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 05:15,1.572,0,316.7,12.43,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 05:20,1.532,0,316.7,12.52,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 05:25,2.014,0,317.1,12.32,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 05:30,2.054,0,317.1,11.97,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 05:35,1.044,0,316.7,12.78,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 05:40,0.988,0,316.5,13.2,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 05:45,1.494,0,316.4,12.89,0.014
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 05:50,1.556,0,316,12.31,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 05:55,1.321,0,316,12.41,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 06:00,1.585,0,315.8,12.13,0
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 06:05,1.183,0,315.8,12.82,0.005
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 06:10,1.612,0,315.8,12.47,0.148
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-7? 06:15,1.244,0,315.9,12.3,0.238
